BLOCK_NAME;LAYER;NOMBRE;COLOR;MARCA;MODELO;X;Y;ROT;SX;SY
'SalonDeClases';'0';'Sal�n de clase';'Blanco';'Argos';'Sala CAD';3396880;3984713;270000;1000;1000
'Puerta';'Puerta';'Puerta';'Azul';'Hoggan';'Puerta Tivoli 80x200cm';338198;1025848;0;1000;1000
'Puerta';'Puerta';'Puerta';'Azul';'Hoggan';'Puerta Tivoli 80x200cm';338198;625848;0;1000;1000
'Tablero';'Tablero';'Tablero';'Blanco';'Maos Centry';'Tablero Acrilico Blanco';314463;3908267;0;1000;1000
'Televisor';'TV';'Televisor';'Negro';'Samsung';'F-QNN55Q6FAAKXZL';305881;5206558;0;1000;1000
'Servidor';'Servidor';'Servidor';'Negro';'HPE';'HPE ProLiant DL360 Gen10';5461230;7164083;0;1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';1255622;6078709;270000;1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';1263951;6367811;270000;1000;1000
'Pantalla';'Pantalla';'Pantalla';'Negro';'HP';'V24I';1433732;6314557;270000;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';588721;6390310;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';2838213;6245380;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';3437082;6245380;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4047577;6241640;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4703340;6241640;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5315530;6234161;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5913600;6239548;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';2869325;4918863;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';3468194;4918863;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4141922;4915123;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4793192;4915123;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5369603;4907643;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5944711;4913030;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';2836976;4066575;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';3439326;4064321;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4070056;4069038;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4725476;4054725;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5320009;4047568;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5893054;4054725;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';2860145;2753227;0;1000;1000
